com.samsung.shealth.activity.day_summary,6260063,6
movement_type,create_sh_ver,energy_type,exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,modify_sh_ver,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
,,,,1638,,1044402,90,0,,2022-07-18 20:44:12.182,,2022-07-17 21:00:00.969,,,,-1,120000,18,,,,1247.0391,,57.715332,dc0750b2-b8fd-4748-b70b-15da2b1b853a.extra_data.json,D7+MLxdohL,0,com.sec.android.app.shealth,1044402,25380000,dc0750b2-b8fd-4748-b70b-15da2b1b853a,1658102400000,
,,,,8240,,4963682,90,0,,2022-06-14 19:54:27.950,,2022-06-13 21:00:00.527,,,,-1,659487,91,,,,6373.08,,292.61273,9e24449b-7e35-499c-a164-d9532c682777.extra_data.json,D7+MLxdohL,0,com.sec.android.app.shealth,4963682,20460000,9e24449b-7e35-499c-a164-d9532c682777,1655164800000,
,,,,4771,,2881327,90,0,,2022-06-19 20:37:39.644,,2022-06-18 21:00:01.296,,,,-1,360000,53,,,,3671.796,,167.04254,efe2bf92-247d-46a2-8bf8-5cd0384185c8.extra_data.json,D7+MLxdohL,0,com.sec.android.app.shealth,2881327,31920000,efe2bf92-247d-46a2-8bf8-5cd0384185c8,1655596800000,
,,,,3593,,2172225,90,0,,2022-07-03 19:05:49.416,,2022-07-02 21:00:00.912,,,,-1,1379979,40,,,,2763.2998,,126.23096,b2f10371-6bdf-43de-93a9-a66a7a0b886e.extra_data.json,D7+MLxdohL,0,com.sec.android.app.shealth,2172225,37140000,b2f10371-6bdf-43de-93a9-a66a7a0b886e,1656806400000,
,,,,0,,0,90,0,,2022-05-19 19:11:23.879,,2022-05-19 19:11:23.879,,,,-1,0,0,,,,0.0,,0.0,2b809f8c-8076-49e0-bd00-64749b740c67.extra_data.json,D7+MLxdohL,0,com.sec.android.app.shealth,0,-1,2b809f8c-8076-49e0-bd00-64749b740c67,1650844800000,
,,,,0,,0,90,0,,2022-05-19 19:11:25.317,,2022-05-19 19:11:25.317,,,,-1,0,0,,,,0.0,,0.0,5e69550f-76a1-4f5c-82e8-b1a0e809b7ae.extra_data.json,D7+MLxdohL,0,com.sec.android.app.shealth,0,-1,5e69550f-76a1-4f5c-82e8-b1a0e809b7ae,1651968000000,
,,,,6552,,3856728,90,0,,2022-06-18 18:43:33.428,,2022-06-17 21:00:00.602,,,,-1,360000,71,,,,5051.631,,229.48544,6c291f01-cfc4-463d-8a99-4353cadebf13.extra_data.json,D7+MLxdohL,0,com.sec.android.app.shealth,3856728,36240000,6c291f01-cfc4-463d-8a99-4353cadebf13,1655510400000,
,,,,6187,,3692706,90,0,,2022-05-27 16:52:26.454,,2022-05-26 21:00:01.294,,,,-1,540000,67,,,,4781.3438,,216.59009,afc1ba14-9315-4864-89b5-e9ffb45d9492.extra_data.json,D7+MLxdohL,0,com.sec.android.app.shealth,3692706,30000000,afc1ba14-9315-4864-89b5-e9ffb45d9492,1653609600000,
,,,,5352,,3077867,90,0,,2022-08-05 19:21:03.379,,2022-08-04 21:00:00.841,,,,-1,360000,56,,,,4145.047,,188.0315,93ad69f6-1829-4ac2-84f8-ec52e35a3571.extra_data.json,D7+MLxdohL,3200,com.sec.android.app.shealth,3074667,45660000,93ad69f6-1829-4ac2-84f8-ec52e35a3571,1659657600000,
,,,,10631,,6569308,90,0,,2022-08-11 18:54:52.507,,2022-08-10 21:00:01.329,,,,-1,360000,121,,,,8098.044,,375.33282,3975610e-2a52-46b9-9965-2d52528caa80.extra_data.json,D7+MLxdohL,6564,com.sec.android.app.shealth,6562744,15660000,3975610e-2a52-46b9-9965-2d52528caa80,1660176000000,
,,,,1758,,1172586,90,0,,2022-08-13 19:58:51.882,,2022-08-12 21:00:00.878,,,,-1,60000,21,,,,1330.0627,,62.59359,1af22f09-b5bd-4de2-b8bf-116fb9ae1dd9.extra_data.json,D7+MLxdohL,0,com.sec.android.app.shealth,1172586,40620000,1af22f09-b5bd-4de2-b8bf-116fb9ae1dd9,1660348800000,
,,,,0,,0,90,0,,2022-05-19 19:11:24.535,,2022-05-19 19:11:24.535,,,,-1,0,0,,,,0.0,,0.0,07e3968f-01d0-4f7a-a46c-ee11720bce96.extra_data.json,D7+MLxdohL,0,com.sec.android.app.shealth,0,-1,07e3968f-01d0-4f7a-a46c-ee11720bce96,1651363200000,
,,,,2877,,1802601,90,0,,2022-07-08 20:25:46.858,,2022-07-07 21:00:00.890,,,,-1,300000,33,,,,2191.08,,101.16687,1bd27d2f-61c1-4f3d-bd40-1af838cf6aa4.extra_data.json,D7+MLxdohL,0,com.sec.android.app.shealth,1802601,31980000,1bd27d2f-61c1-4f3d-bd40-1af838cf6aa4,1657238400000,
,,,,0,,0,90,0,,2022-05-19 19:11:25.873,,2022-05-19 19:11:25.873,,,,-1,0,0,,,,0.0,,0.0,4ca9b2ee-f008-4d31-b43f-ecf3d2c393d8.extra_data.json,D7+MLxdohL,0,com.sec.android.app.shealth,0,-1,4ca9b2ee-f008-4d31-b43f-ecf3d2c393d8,1652486400000,
,,,,5880,,3476050,90,0,,2022-06-09 20:01:38.382,,2022-06-08 21:00:01.669,,,,-1,420000,63,,,,4566.811,,207.20407,407b0f95-b5d8-4478-bcf3-55946fff03e6.extra_data.json,D7+MLxdohL,9293,com.sec.android.app.shealth,3466757,20460000,407b0f95-b5d8-4478-bcf3-55946fff03e6,1654732800000,
,,,,0,,0,90,0,,2022-05-19 19:11:25.582,,2022-05-19 19:11:25.582,,,,-1,0,0,,,,0.0,,0.0,e627048f-ad59-41b6-a445-eeb035c32eec.extra_data.json,D7+MLxdohL,0,com.sec.android.app.shealth,0,-1,e627048f-ad59-41b6-a445-eeb035c32eec,1652140800000,
,,,,3920,,2317135,90,0,,2022-07-04 20:45:14.552,,2022-07-03 21:05:50.406,,,,-1,360000,42,,,,3000.3389,,137.56152,1cbe4679-68af-4b7f-ae3e-dca9bbe5a47a.extra_data.json,D7+MLxdohL,0,com.sec.android.app.shealth,2317135,27420000,1cbe4679-68af-4b7f-ae3e-dca9bbe5a47a,1656892800000,
,,,,0,,0,90,0,,2022-05-19 19:11:24.670,,2022-05-19 19:11:24.670,,,,-1,0,0,,,,0.0,,0.0,953e5638-d534-47c1-8851-09b85398136e.extra_data.json,D7+MLxdohL,0,com.sec.android.app.shealth,0,-1,953e5638-d534-47c1-8851-09b85398136e,1651449600000,
,,,,1081,,721027,90,0,,2022-07-11 20:58:13.387,,2022-07-10 21:00:00.582,,,,-1,50692,13,,,,815.24414,,38.664917,9a2c6f52-d850-4b97-96d9-324ff74963c5.extra_data.json,D7+MLxdohL,0,com.sec.android.app.shealth,721027,28980000,9a2c6f52-d850-4b97-96d9-324ff74963c5,1657497600000,
,,,,0,,0,90,0,,2022-05-19 19:11:23.680,,2022-05-19 19:11:23.680,,,,-1,0,0,,,,0.0,,0.0,3d1ad86f-c067-4a93-9dca-40b8ac4bd3e6.extra_data.json,D7+MLxdohL,0,com.sec.android.app.shealth,0,-1,3d1ad86f-c067-4a93-9dca-40b8ac4bd3e6,1650758400000,
,,,,0,,0,90,0,,2022-05-19 19:11:25.838,,2022-05-19 19:11:25.838,,,,-1,0,0,,,,0.0,,0.0,49218547-441d-4448-bbbd-17b5ee3edb8c.extra_data.json,D7+MLxdohL,0,com.sec.android.app.shealth,0,-1,49218547-441d-4448-bbbd-17b5ee3edb8c,1652400000000,
